batch size,epoch,loss,acc,val_loss,val_acc,
8,0001,0.2132,0.9062,0.0914,0.9702,
8,0002,0.0538,0.982,0.2957,0.8912,
8,0003,0.0407,0.9862,0.0554,0.9798,
8,0004,0.0348,0.9876,0.1245,0.9366,
8,0005,0.0322,0.9886,0.0567,0.9791,
8,0006,0.0301,0.9894,0.0321,0.9887,
8,0007,0.0284,0.9898,0.0276,0.9905,
8,0008,0.0263,0.9906,0.0358,0.9881,
8,0009,0.026,0.9906,0.0315,0.9886,
8,0010,0.0252,0.9911,0.0346,0.9887,
8,0011,0.0239,0.9909,0.0289,0.9903,
8,0012,0.0234,0.9915,0.028,0.99,
8,0013,0.0227,0.9918,0.0279,0.9903,
8,0014,0.022,0.9919,0.0281,0.99,
8,0015,0.0222,0.9917,0.0278,0.9905,
8,0016,0.0213,0.9922,0.0303,0.9896,
8,0017,0.0208,0.9921,0.0261,0.9916,
8,0018,0.0201,0.9925,0.0275,0.9909,
8,0019,0.02,0.9922,0.0271,0.9905,
8,0020,0.0195,0.9925,0.0263,0.9913,
8,0021,0.0188,0.9928,0.0266,0.9907,
8,0022,0.0189,0.9928,0.026,0.9916,
8,0023,0.0184,0.993,0.0273,0.9899,
8,0024,0.0181,0.9931,0.0272,0.9909,
8,0025,0.0175,0.9932,0.0286,0.9905,
8,0026,0.0171,0.9933,0.0274,0.9913,
8,0027,0.0172,0.9931,0.0275,0.9917,
8,0028,0.0172,0.9933,0.0272,0.9919,
8,0029,0.0163,0.9936,0.0271,0.9922,
8,0030,0.0161,0.9935,0.0285,0.991,
8,0031,0.0165,0.9938,0.0281,0.9913,
8,0032,0.0155,0.9938,0.0289,0.991,
8,0033,0.0152,0.994,0.0272,0.9915,
8,0034,0.0154,0.9942,0.0299,0.992,
8,0035,0.0145,0.9941,0.0309,0.99,
8,0036,0.0151,0.9941,0.0302,0.9916,
8,0037,0.015,0.9939,0.0291,0.9913,
8,0038,0.0147,0.9945,0.0305,0.9904,
8,0039,0.0143,0.9941,0.0289,0.9914,
8,0040,0.0146,0.9943,0.0275,0.9913,
8,0041,0.0136,0.9946,0.0283,0.9922,
8,0042,0.0127,0.9951,0.0288,0.9919,
8,0043,0.0127,0.995,0.0294,0.9916,
8,0044,0.0127,0.995,0.0295,0.9916,
8,0045,0.0125,0.9949,0.0299,0.9913,
8,0046,0.0125,0.9949,0.0299,0.9913,
8,0047,0.0125,0.9952,0.0295,0.9916,
8,0048,0.0125,0.9947,0.03,0.9914,
8,0049,0.0122,0.9955,0.0303,0.9915,
8,0050,0.0123,0.9952,0.0302,0.9913,
8,0051,0.0119,0.9954,0.0301,0.9913,
8,0052,0.0118,0.9952,0.0305,0.9913,
8,0053,0.0119,0.9953,0.0305,0.9915,
8,0054,0.0118,0.9953,0.0308,0.9912,
8,0055,0.0121,0.9951,0.0306,0.9915,
8,0056,0.0123,0.9952,0.0305,0.9915,
8,0057,0.0122,0.9949,0.0308,0.9915,
8,0058,0.0118,0.9952,0.0311,0.9915,
8,0059,0.0118,0.9952,0.0309,0.9915,
8,0060,0.0123,0.9951,0.0306,0.9913,
8,0061,0.0117,0.9955,0.0309,0.9914,
8,0062,0.0123,0.995,0.0309,0.9913,
8,0063,0.0119,0.9951,0.0309,0.9914,
8,0064,0.0121,0.9954,0.0307,0.9915,
8,0065,0.0121,0.9953,0.0308,0.9915,
8,0066,0.0116,0.9954,0.0307,0.9915,
8,0067,0.0116,0.9953,0.0309,0.9914,
8,0068,0.0117,0.9953,0.0307,0.9914,
8,0069,0.0116,0.9955,0.0309,0.9914,
8,0070,0.0116,0.9953,0.031,0.9914,
8,0071,0.0119,0.9954,0.0308,0.9915,
8,0072,0.0118,0.9954,0.0308,0.9915,
8,0073,0.0115,0.9954,0.0307,0.9913,
8,0074,0.0117,0.9955,0.0308,0.9915,
8,0075,0.0112,0.9956,0.031,0.9913,
8,0076,0.0114,0.9954,0.0306,0.9913,
8,0077,0.0116,0.9951,0.0305,0.9913,
8,0078,0.0116,0.9953,0.0307,0.9915,
8,0079,0.0118,0.9951,0.0305,0.9914,
8,0080,0.012,0.9953,0.0307,0.9915,
8,0081,0.0116,0.9955,0.0308,0.9915,
8,0082,0.0111,0.9957,0.0308,0.9914,
8,0083,0.0117,0.9954,0.031,0.9913,
8,0084,0.0116,0.9953,0.0309,0.9913,
8,0085,0.0117,0.9955,0.0308,0.9915,
8,0086,0.0123,0.9951,0.0308,0.9915,
8,0087,0.0117,0.9955,0.0307,0.9914,
8,0088,0.0114,0.9952,0.0308,0.9915,
8,0089,0.0114,0.9956,0.0309,0.9915,
8,0090,0.0113,0.9956,0.0307,0.9914,
8,0091,0.0113,0.9956,0.0309,0.9914,
8,0092,0.0115,0.9953,0.0306,0.9915,
8,0093,0.0116,0.9955,0.0308,0.9915,
8,0094,0.0121,0.9954,0.031,0.9914,
8,0095,0.0114,0.9954,0.0307,0.9915,
8,0096,0.0117,0.9953,0.0307,0.9915,
8,0097,0.0109,0.9956,0.0308,0.9913,
8,0098,0.012,0.9951,0.0306,0.9914,
