batch size,epoch,loss,acc,val_loss,val_acc,
1,0001,0.2039,0.912,0.79,0.8139,
1,0002,0.0531,0.9811,0.8425,0.8473,
1,0003,0.0415,0.9858,0.7754,0.8457,
1,0004,0.0366,0.9869,0.7398,0.8579,
1,0005,0.0337,0.9885,0.687,0.8366,
1,0006,0.0318,0.9886,0.7015,0.8572,
1,0007,0.0305,0.9891,0.7274,0.8494,
1,0008,0.0294,0.9894,1.0213,0.8255,
1,0009,0.0284,0.9898,1.3157,0.8106,
1,0010,0.0272,0.9907,0.8778,0.8353,
1,0011,0.0271,0.9903,0.9159,0.8356,
1,0012,0.0267,0.9903,1.1023,0.8439,
1,0013,0.0259,0.9909,0.7756,0.8581,
1,0014,0.0259,0.9906,0.922,0.8486,
1,0015,0.0254,0.9908,0.9164,0.8517,
1,0016,0.0251,0.9911,0.5547,0.8623,
1,0017,0.0253,0.9908,1.013,0.8365,
1,0018,0.0238,0.9912,0.9859,0.828,
1,0019,0.0246,0.9912,0.9685,0.8444,
1,0020,0.0241,0.9914,0.7522,0.8521,
1,0021,0.0239,0.9919,0.8104,0.8554,
1,0022,0.0236,0.9917,0.5823,0.8622,
1,0023,0.0233,0.9916,0.9623,0.844,
1,0024,0.0233,0.9916,0.8042,0.8496,
1,0025,0.0225,0.9919,0.8624,0.8448,
1,0026,0.0225,0.9918,0.7154,0.859,
1,0027,0.0226,0.9916,0.8077,0.854,
1,0028,0.0223,0.992,0.8907,0.8473,
1,0029,0.0221,0.9921,0.8068,0.8469,
1,0030,0.0224,0.992,0.7924,0.8438,
1,0031,0.0219,0.9924,0.98,0.8383,
1,0032,0.0226,0.9917,0.7441,0.826,
1,0033,0.0218,0.992,0.9308,0.8455,
1,0034,0.0219,0.9919,0.7382,0.8521,
1,0035,0.022,0.9921,0.9672,0.8442,
1,0036,0.0219,0.9922,0.6775,0.8594,
1,0037,0.0214,0.9924,0.798,0.8572,
1,0038,0.0221,0.9921,0.8032,0.8541,
1,0039,0.0218,0.9922,0.6926,0.8517,
1,0040,0.0215,0.9922,0.7546,0.8571,
1,0041,0.0215,0.9923,0.8542,0.8478,
1,0042,0.0213,0.9924,0.9619,0.8396,
1,0043,0.0202,0.9927,0.9663,0.8426,
1,0044,0.0209,0.9924,0.8168,0.8463,
1,0045,0.0207,0.9924,0.9912,0.8417,
1,0046,0.02,0.9928,1.0705,0.8365,
1,0047,0.0203,0.9925,0.7313,0.8516,
1,0048,0.0202,0.9927,0.9162,0.8465,
1,0049,0.0205,0.9928,0.9695,0.8399,
1,0050,0.0204,0.9924,1.0683,0.8405,
1,0051,0.0205,0.9927,0.8221,0.8482,
1,0052,0.0204,0.9924,0.8949,0.8446,
1,0053,0.0202,0.9925,0.9238,0.8483,
1,0054,0.02,0.9926,0.9088,0.8469,
1,0055,0.0205,0.9925,0.9175,0.8406,
1,0056,0.0208,0.9925,0.9001,0.8469,
1,0057,0.0203,0.9926,0.9945,0.8396,
1,0058,0.0204,0.9927,0.9411,0.8472,
1,0059,0.0202,0.9924,1.0133,0.8415,
1,0060,0.0202,0.9927,0.981,0.8402,
1,0061,0.0203,0.9924,0.9391,0.8432,
1,0062,0.0199,0.9927,1.0022,0.8434,
1,0063,0.0204,0.9925,0.8972,0.8469,
1,0064,0.0201,0.9926,0.9798,0.8389,
1,0065,0.0206,0.9924,0.9114,0.8456,
1,0066,0.0197,0.9928,0.8533,0.8511,
1,0067,0.0204,0.9922,1.1769,0.8376,
1,0068,0.0203,0.9927,0.8887,0.8459,
1,0069,0.0204,0.9925,0.824,0.8514,
