batch size,epoch,loss,acc,val_loss,val_acc,
8,0001,0.6932,0.4943,0.6931,0.4941,
8,0002,0.6931,0.4941,0.6931,0.4941,
8,0003,0.6931,0.4941,0.6931,0.4941,
8,0004,0.6931,0.4941,0.6931,0.4941,
8,0005,0.6931,0.4941,0.6931,0.4941,
8,0006,0.6931,0.4941,0.6931,0.4941,
8,0007,0.6931,0.4941,0.6931,0.4941,
8,0008,0.6931,0.4941,0.6931,0.4941,
8,0009,0.6931,0.4941,0.6931,0.4941,
8,0010,0.6931,0.4941,0.6931,0.4941,
8,0011,0.6931,0.4941,0.6931,0.4941,
8,0012,0.6931,0.4941,0.6931,0.4941,
8,0013,0.6931,0.4941,0.6931,0.4941,
8,0014,0.6931,0.4941,0.6931,0.4941,
8,0015,0.6931,0.4941,0.6931,0.4941,
8,0016,0.6931,0.4941,0.6931,0.4941,
8,0017,0.6931,0.4941,0.6931,0.4941,
8,0018,0.6931,0.4941,0.6931,0.4941,
8,0019,0.6931,0.4941,0.6931,0.4941,
8,0020,0.6931,0.4941,0.6931,0.4941,
8,0021,0.6931,0.4941,0.6931,0.4941,
8,0022,0.6931,0.4941,0.6931,0.4941,
8,0023,0.6931,0.4941,0.6931,0.4941,
8,0024,0.6931,0.4941,0.6931,0.4941,
8,0025,0.6931,0.4941,0.6931,0.4941,
8,0026,0.6931,0.4941,0.6931,0.4941,
8,0027,0.6931,0.4941,0.6931,0.4941,
8,0028,0.6931,0.4941,0.6931,0.4941,
8,0029,0.6931,0.4941,0.6931,0.4941,
8,0030,0.6931,0.4941,0.6931,0.4941,
8,0031,0.6931,0.4941,0.6931,0.4941,
8,0032,0.6931,0.4941,0.6931,0.4941,
8,0033,0.6931,0.4941,0.6931,0.4941,
8,0034,0.6931,0.4941,0.6931,0.4941,
8,0035,0.6931,0.4941,0.6931,0.4941,
8,0036,0.6931,0.4941,0.6931,0.4941,
8,0037,0.6931,0.4941,0.6931,0.4941,
8,0038,0.6931,0.4941,0.6931,0.4941,
8,0039,0.6931,0.4941,0.6931,0.4941,
8,0040,0.6931,0.4941,0.6931,0.4941,
8,0041,0.6931,0.4941,0.6931,0.4941,
8,0042,0.6931,0.4941,0.6931,0.4941,
8,0043,0.6931,0.4941,0.6931,0.4941,
8,0044,0.6931,0.4941,0.6931,0.4941,
8,0045,0.6931,0.4941,0.6931,0.4941,
8,0046,0.6931,0.4941,0.6931,0.4941,
8,0047,0.6931,0.4941,0.6931,0.4941,
8,0048,0.6931,0.4941,0.6931,0.4941,
8,0049,0.6931,0.4941,0.6931,0.4941,
8,0050,0.6931,0.4941,0.6931,0.4941,
8,0051,0.6931,0.4941,0.6931,0.4941,
8,0052,0.6931,0.4941,0.6931,0.4941,
8,0053,0.6931,0.4941,0.6931,0.4941,
8,0054,0.6931,0.4941,0.6931,0.4941,
8,0055,0.6931,0.4941,0.6931,0.4941,
8,0056,0.6931,0.4941,0.6931,0.4941,
8,0057,0.6931,0.4941,0.6931,0.4941,
8,0058,0.6931,0.4941,0.6931,0.4941,
8,0059,0.6931,0.4941,0.6931,0.4941,
8,0060,0.6931,0.4941,0.6931,0.4941,
8,0061,0.6931,0.4941,0.6931,0.4941,
8,0062,0.6931,0.4941,0.6931,0.4941,
8,0063,0.6931,0.4941,0.6931,0.4941,
8,0064,0.6931,0.4941,0.6931,0.4941,
8,0065,0.6931,0.4941,0.6931,0.4941,
8,0066,0.6931,0.4941,0.6931,0.4941,
8,0067,0.6931,0.4941,0.6931,0.4941,
8,0068,0.6931,0.4941,0.6931,0.4941,
8,0069,0.6931,0.4941,0.6931,0.4941,
8,0070,0.6931,0.4941,0.6931,0.4941,
8,0071,0.6931,0.4941,0.6931,0.4941,
8,0072,0.6931,0.4941,0.6931,0.4941,
8,0073,0.6931,0.4941,0.6931,0.4941,
8,0074,0.6931,0.4941,0.6931,0.4941,
8,0075,0.6931,0.4941,0.6931,0.4941,
8,0076,0.6931,0.4941,0.6931,0.4941,
8,0077,0.6931,0.4941,0.6931,0.4941,
8,0078,0.6931,0.4941,0.6931,0.4941,
8,0079,0.6931,0.4941,0.6931,0.4941,
8,0080,0.6931,0.4941,0.6931,0.4941,
8,0081,0.6931,0.4941,0.6931,0.4941,
8,0082,0.6931,0.4941,0.6931,0.4941,
8,0083,0.6931,0.4941,0.6931,0.4941,
8,0084,0.6931,0.4941,0.6931,0.4941,
8,0085,0.6931,0.4941,0.6931,0.4941,
8,0086,0.6931,0.4941,0.6931,0.4941,
8,0087,0.6931,0.4941,0.6931,0.4941,
8,0088,0.6931,0.4941,0.6931,0.4941,
8,0089,0.6931,0.4941,0.6931,0.4941,
8,0090,0.6931,0.4941,0.6931,0.4941,
8,0091,0.6931,0.4941,0.6931,0.4941,
8,0092,0.6931,0.4941,0.6931,0.4941,
8,0093,0.6931,0.4941,0.6931,0.4941,
8,0094,0.6931,0.4941,0.6931,0.4941,
8,0095,0.6931,0.4941,0.6931,0.4941,
8,0096,0.6931,0.4941,0.6931,0.4941,
8,0097,0.6931,0.4941,0.6931,0.4941,
8,0098,0.6931,0.4941,0.6931,0.4941,
8,0099,0.6931,0.4941,0.6931,0.4941,
8,0100,0.6931,0.4941,0.6931,0.4941,
batch size,epoch,loss,acc,val_loss,val_acc,
16,0001,0.6931,0.494,0.6931,0.4941,
16,0002,0.6931,0.4941,0.6931,0.4941,
16,0003,0.6931,0.4941,0.6931,0.4941,
16,0004,0.6931,0.4941,0.6931,0.4941,
16,0005,0.6931,0.4941,0.6931,0.4941,
16,0006,0.6931,0.4941,0.6931,0.4941,
16,0007,0.6931,0.4941,0.6931,0.4941,
16,0008,0.6931,0.4941,0.6931,0.4941,
16,0009,0.6931,0.4941,0.6931,0.4941,
16,0010,0.6931,0.4941,0.6931,0.4941,
16,0011,0.6931,0.4941,0.6931,0.4941,
16,0012,0.6931,0.4941,0.6931,0.4941,
16,0013,0.6931,0.4941,0.6931,0.4941,
16,0014,0.6931,0.4941,0.6931,0.4941,
16,0015,0.6931,0.4941,0.6931,0.4941,
16,0016,0.6931,0.4941,0.6931,0.4941,
16,0017,0.6931,0.4941,0.6931,0.4941,
16,0018,0.6931,0.4941,0.6931,0.4941,
16,0019,0.6931,0.4941,0.6931,0.4941,
16,0020,0.6931,0.4941,0.6931,0.4941,
16,0021,0.6931,0.4941,0.6931,0.4941,
16,0022,0.6931,0.4941,0.6931,0.4941,
16,0023,0.6931,0.4941,0.6931,0.4941,
16,0024,0.6931,0.4941,0.6931,0.4941,
16,0025,0.6931,0.4941,0.6931,0.4941,
16,0026,0.6931,0.4941,0.6931,0.4941,
16,0027,0.6931,0.4941,0.6931,0.4941,
16,0028,0.6931,0.4941,0.6931,0.4941,
16,0029,0.6931,0.4941,0.6931,0.4941,
16,0030,0.6931,0.4941,0.6931,0.4941,
16,0031,0.6931,0.4941,0.6931,0.4941,
16,0032,0.6931,0.4941,0.6931,0.4941,
16,0033,0.6931,0.4941,0.6931,0.4941,
16,0034,0.6931,0.4941,0.6931,0.4941,
16,0035,0.6931,0.4941,0.6931,0.4941,
16,0036,0.6931,0.4941,0.6931,0.4941,
16,0037,0.6931,0.4941,0.6931,0.4941,
16,0038,0.6931,0.4941,0.6931,0.4941,
16,0039,0.6931,0.4941,0.6931,0.4941,
16,0040,0.6931,0.4941,0.6931,0.4941,
16,0041,0.6931,0.4941,0.6931,0.4941,
16,0042,0.6931,0.4941,0.6931,0.4941,
16,0043,0.6931,0.4941,0.6931,0.4941,
16,0044,0.6931,0.4941,0.6931,0.4941,
16,0045,0.6931,0.4941,0.6931,0.4941,
16,0046,0.6931,0.4941,0.6931,0.4941,
16,0047,0.6931,0.4941,0.6931,0.4941,
16,0048,0.6931,0.4941,0.6931,0.4941,
16,0049,0.6931,0.4941,0.6931,0.4941,
16,0050,0.6931,0.4941,0.6931,0.4941,
16,0051,0.6931,0.4941,0.6931,0.4941,
16,0052,0.6931,0.4941,0.6931,0.4941,
16,0053,0.6931,0.4941,0.6931,0.4941,
16,0054,0.6931,0.4941,0.6931,0.4941,
16,0055,0.6931,0.4941,0.6931,0.4941,
16,0056,0.6931,0.4941,0.6931,0.4941,
16,0057,0.6931,0.4941,0.6931,0.4941,
16,0058,0.6931,0.4941,0.6931,0.4941,
16,0059,0.6931,0.4941,0.6931,0.4941,
16,0060,0.6931,0.4941,0.6931,0.4941,
16,0061,0.6931,0.4941,0.6931,0.4941,
16,0062,0.6931,0.4941,0.6931,0.4941,
16,0063,0.6931,0.4941,0.6931,0.4941,
16,0064,0.6931,0.4941,0.6931,0.4941,
16,0065,0.6931,0.4941,0.6931,0.4941,
16,0066,0.6931,0.4941,0.6931,0.4941,
16,0067,0.6931,0.4941,0.6931,0.4941,
16,0068,0.6931,0.4941,0.6931,0.4941,
16,0069,0.6931,0.4941,0.6931,0.4941,
16,0070,0.6931,0.4941,0.6931,0.4941,
16,0071,0.6931,0.4941,0.6931,0.4941,
16,0072,0.6931,0.4941,0.6931,0.4941,
16,0073,0.6931,0.4941,0.6931,0.4941,
16,0074,0.6931,0.4941,0.6931,0.4941,
16,0075,0.6931,0.4941,0.6931,0.4941,
16,0076,0.6931,0.4941,0.6931,0.4941,
16,0077,0.6931,0.4941,0.6931,0.4941,
16,0078,0.6931,0.4941,0.6931,0.4941,
16,0079,0.6931,0.4941,0.6931,0.4941,
16,0080,0.6931,0.4941,0.6931,0.4941,
16,0081,0.6931,0.4941,0.6931,0.4941,
16,0082,0.6931,0.4941,0.6931,0.4941,
16,0083,0.6931,0.4941,0.6931,0.4941,
16,0084,0.6931,0.4941,0.6931,0.4941,
16,0085,0.6931,0.4941,0.6931,0.4941,
16,0086,0.6931,0.4941,0.6931,0.4941,
16,0087,0.6931,0.4941,0.6931,0.4941,
16,0088,0.6931,0.4941,0.6931,0.4941,
16,0089,0.6931,0.4941,0.6931,0.4941,
16,0090,0.6931,0.4941,0.6931,0.4941,
16,0091,0.6931,0.4941,0.6931,0.4941,
16,0092,0.6931,0.4941,0.6931,0.4941,
16,0093,0.6931,0.4941,0.6931,0.4941,
16,0094,0.6931,0.4941,0.6931,0.4941,
16,0095,0.6931,0.4941,0.6931,0.4941,
16,0096,0.6931,0.4941,0.6931,0.4941,
